cod_modelo_color,des_agrup_color_eng,des_sex,des_age,des_product_category,des_product_type
41085800-02,WHITE,Female,Adult,Bottoms,Trousers
53000586-TO,BLUE,Female,Adult,Bottoms,Jeans
53030601-81,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53050730-15,YELLOW,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53070773-70,RED,Female,Adult,Tops,Shirt
53003736-94,GREY,Female,Adult,Tops,Sweater
53045718-17,YELLOW,Female,Adult,Tops,Sweater
53050926-37,BROWN,Female,Adult,Bottoms,Skirt
53085736-96,GREY,Female,Adult,Tops,Sweater
53015770-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57007891-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57064001-02,WHITE,Female,Adult,Bottoms,Jeans
57067700-74,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
47086303-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Totes bag
57040032-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
57040164-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Card_holder
57020260-83,PINK,Female,Adult,Accesories_Swim_and_Intimate,Wallet
57050281-TM,BLUE,Female,Adult,Bottoms,Shorts
57062516-99,GREY,Female,Adult,Tops,Top
57012888-12,YELLOW,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57084018-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
57085800-01,WHITE,Female,Adult,Tops,Shirt
57004787-07,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57083821-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57049096-65,PURPLE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57099098-05,WHITE,Female,Adult,Tops,Top
57067753-TO,BLUE,Female,Adult,Outerwear,Jacket
57079104-37,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57057741-30,BROWN,Female,Adult,Outerwear,Coat
43031153-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
53070567-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53060575-52,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
53050579-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
53030593-52,BLUE,Female,Adult,Tops,Blouse
53030547-05,WHITE,Female,Adult,Bottoms,Shorts
51030638-45,GREEN,Female,Adult,Tops,T-Shirt
53040741-56,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53073709-99,GREY,Female,Adult,Outerwear,Blazer
53080599-37,BROWN,Female,Adult,Bottoms,Trousers
